"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"CAP0603-CAP";"0603-CAP";"C1, C2";"Capacitor";"";
"1";"0";"RESISTOR0603";"0603-RES";"RXD";"Resistor";"";
"1";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"D1";"Schottky diode";"";
"3";"10K";"RESISTOR0603";"0603-RES";"R1, R4, R5";"Resistor";"";
"1";"1k";"RESISTOR0603";"0603-RES";"R3";"Resistor";"";
"1";"220";"RESISTOR0603";"0603-RES";"R6";"Resistor";"";
"1";"6N137SMT";"6N137SMT";"DIL8-SMD";"U1";"MOTOROLA OPTO COUPLER";"";
"1";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_3.5MM_TRRS_SMD_RA";"MIDI_IN";"Audio Jack - 3.5mm TRRS (SMD)";"";
"1";"BSS138W-7-F";"SMD-MOSFET-N-CH-50V-200MA-BSS138W-7-F(SOT-23)";"SOT-23";"Q1";"305030000";"";
"4";"DNP";"RESISTOR0603";"0603-RES";"GPI5, GPI12, MISO, R2";"Resistor";"";
"1";"FEATHERWING";"FEATHERWING";"FEATHERWING";"MS1";"";"";
"4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"FID1, FID2, FID3, FID4";"Fiducial Alignment Points";"";
"1";"GREEN-0603";"SMD-LED-CLEAR-GREEN(0603)";"LED-0603";"LED";"304090043";"";
"1";"OSHW_LOGO_SYMM";"OSHW_LOGO_SYMM";"OSHW_LOGO_MED_SYM";"U$100";"OSHW_LOGO_SYM";"";
"1";"PA_LOGO_SYMLARGE";"PA_LOGO_SYMLARGE";"PA_LOGO_AGENT_LRG_SYM";"U$1";"PatternAgents Logo Symbol";"";
